id,category,question,attribute_key
1,era,古代の人ですか？,era_ancient
2,era,中世の人ですか？,era_medieval
3,era,近世の人ですか？,era_early_modern
4,era,近代の人ですか？,era_modern
5,era,現代の人ですか？,era_contemporary
6,region,日本人ですか？,region_japan
7,region,中国・モンゴルの人ですか？,region_china_mongolia
8,region,ヨーロッパの人ですか？,region_europe
9,region,アメリカの人ですか？,region_america
10,region,その他のアジアの人ですか？,region_other_asia
11,region,アフリカの人ですか？,region_africa
12,gender,男性ですか？,gender_male
13,gender,女性ですか？,gender_female
14,age,若くして亡くなりましたか（50歳未満）？,age_died_young
15,age,長生きしましたか（80歳以上）？,age_long_lived
16,occupation,政治家ですか？,occupation_politician
17,occupation,軍人・武将ですか？,occupation_military
18,occupation,芸術家ですか？,occupation_artist
19,occupation,科学者ですか？,occupation_scientist
20,occupation,作家ですか？,occupation_writer
21,occupation,音楽家ですか？,occupation_musician
22,occupation,思想家・宗教家ですか？,occupation_philosopher
23,occupation,実業家・起業家ですか？,occupation_entrepreneur
24,occupation,俳優・エンターテイナーですか？,occupation_entertainer
25,occupation,発明家ですか？,occupation_inventor
26,occupation,医師・看護師ですか？,occupation_medical
27,trait,戦いに関わりましたか？,trait_battle
28,trait,革命を起こしましたか？,trait_revolution
29,trait,芸術作品を残しましたか？,trait_artwork
30,trait,ノーベル賞を受賞しましたか？,trait_nobel
31,trait,暗殺されましたか？,trait_assassinated
32,trait,悲劇的な死を遂げましたか？,trait_tragic_death
33,trait,独裁者でしたか？,trait_dictator
34,trait,宗教を広めましたか？,trait_religious_founder
35,trait,法律や憲法を作りましたか？,trait_lawmaker
36,personality,完璧主義でしたか？,personality_perfectionist
37,personality,情熱的でしたか？,personality_passionate
38,personality,慎重派でしたか？,personality_cautious
39,personality,革新的でしたか？,personality_innovative
40,personality,頑固でしたか？,personality_stubborn
41,personality,優しい・献身的でしたか？,personality_kind
42,personality,野心家でしたか？,personality_ambitious
43,lifestyle,独身でしたか？,lifestyle_single
44,lifestyle,子供がたくさんいましたか（10人以上）？,lifestyle_many_children
45,lifestyle,貧困を経験しましたか？,lifestyle_poverty
46,lifestyle,旅をしましたか？,lifestyle_traveler
47,lifestyle,引きこもり気質でしたか？,lifestyle_reclusive
48,achievement,国を作りましたか？,achievement_nation_builder
49,achievement,世界的に有名になりましたか？,achievement_world_famous
50,achievement,生前は無名でしたか？,achievement_posthumous_fame
51,achievement,お札の肖像になりましたか？,achievement_currency
52,achievement,複数の分野で活躍しましたか？,achievement_multitalented
53,achievement,教育機関を作りましたか？,achievement_educator
54,creative,絵を描きましたか？,creative_painting
55,creative,音楽を作りましたか？,creative_music
56,creative,小説や詩を書きましたか？,creative_literature
57,creative,映画を作りましたか？,creative_film
58,creative,建築に関わりましたか？,creative_architecture
59,impact,戦争を起こしましたか？,impact_war_starter
60,impact,平和をもたらしましたか？,impact_peacemaker
61,impact,人権のために戦いましたか？,impact_human_rights
62,impact,科学技術を発展させましたか？,impact_tech_advancement
63,impact,社会を大きく変えましたか？,impact_social_change
64,impact,西洋文化に影響を与えましたか？,impact_western_influence
65,impact,東洋文化に影響を与えましたか？,impact_eastern_influence
66,modern_context,今も作品が人気ですか？,modern_popular_works
67,modern_context,名言で有名ですか？,modern_famous_quotes
68,modern_context,論争の的になっていますか？,modern_controversial
69,modern_context,教科書に載っていますか？,modern_textbook
70,modern_context,映画やドラマの題材になりましたか？,modern_media_subject
71,trivia,本名ではない名前で知られていますか？,trivia_pseudonym
72,trivia,外見的特徴で有名ですか？,trivia_distinctive_appearance
73,trivia,意外な趣味や特技がありましたか？,trivia_unexpected_hobby
74,trivia,都市伝説がありますか？,trivia_urban_legend
75,trivia,死因が謎ですか？,trivia_mysterious_death
76,historical_period,戦国時代の人ですか？,period_sengoku
77,historical_period,江戸時代の人ですか？,period_edo
78,historical_period,明治時代の人ですか？,period_meiji
79,historical_period,幕末の人ですか？,period_bakumatsu
80,historical_period,ルネサンス期の人ですか？,period_renaissance
81,historical_period,産業革命期の人ですか？,period_industrial
82,historical_period,第二次世界大戦に関わりましたか？,period_wwii
83,career,元々別の職業でしたか？,career_career_change
84,career,若くして成功しましたか？,career_early_success
85,career,晩年に評価されましたか？,career_late_recognition
86,career,弟子や後継者が有名ですか？,career_famous_disciples
87,relationship,兄弟で有名ですか？,relationship_siblings
88,relationship,恋愛で有名ですか？,relationship_romance
89,relationship,師弟関係で有名ですか？,relationship_mentor
90,relationship,ライバルがいましたか？,relationship_rival
